path_nodes,score,path_length,avg_cooc_score,num_explicit_links,hierarchical_flow_score,category_span_score,path_str
"['nanowires', 'network-theory', 'photodetection-qe', 'silicon-si-and-porous-silicon-psi', 'neuromorphic-computing--hardware']",27.702294359564846,5,0.77,2,3,4,nanowires -> network-theory -> photodetection-qe -> silicon-si-and-porous-silicon-psi -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'thermodynamics-of-information', 'statistical-mechanics--stochastic-thermodynamics', 'neuromorphic-computing--hardware']",27.36807860650236,5,0.837,2,3,3,nanowires -> network-theory -> thermodynamics-of-information -> statistical-mechanics--stochastic-thermodynamics -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'active-inference-fep', 'ml-classificationregression-svm-mlp-k-means-som', 'neuromorphic-computing--hardware']",27.06484931724128,5,0.706,2,3,4,nanowires -> network-theory -> active-inference-fep -> ml-classificationregression-svm-mlp-k-means-som -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'thermodynamic-uncertainty-relations', 'statistical-mechanics--stochastic-thermodynamics', 'neuromorphic-computing--hardware']",26.910976997042834,5,0.791,2,3,3,nanowires -> network-theory -> thermodynamic-uncertainty-relations -> statistical-mechanics--stochastic-thermodynamics -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'classification--regression-performance', 'ml-classificationregression-svm-mlp-k-means-som', 'neuromorphic-computing--hardware']",26.7802686602854,5,0.578,2,3,5,nanowires -> network-theory -> classification--regression-performance -> ml-classificationregression-svm-mlp-k-means-som -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'reaction-diffusion-systems', 'chemical-oscillators', 'neuromorphic-computing--hardware']",26.652294359564845,5,0.665,2,3,4,nanowires -> network-theory -> reaction-diffusion-systems -> chemical-oscillators -> neuromorphic-computing--hardware
"['nanowires', 'evolutionary-algorithms', 'learning--adaptive-behavior', 'active-inference-fep', 'neuromorphic-computing--hardware']",26.307066753108625,5,0.731,2,2,5,nanowires -> evolutionary-algorithms -> learning--adaptive-behavior -> active-inference-fep -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'acoustic-response', 'mechanical-metamaterials', 'neuromorphic-computing--hardware']",26.169630530756457,5,0.617,2,3,4,nanowires -> network-theory -> acoustic-response -> mechanical-metamaterials -> neuromorphic-computing--hardware
"['nanowires', 'synaptic-plasticity-emulation', 'photodetection-qe', 'silicon-si-and-porous-silicon-psi', 'neuromorphic-computing--hardware']",26.020476177746662,5,0.702,2,3,3,nanowires -> synaptic-plasticity-emulation -> photodetection-qe -> silicon-si-and-porous-silicon-psi -> neuromorphic-computing--hardware
"['nanowires', 'active-inference', 'active-inference-fep', 'ml-classificationregression-svm-mlp-k-means-som', 'neuromorphic-computing--hardware']",25.420697114405975,5,0.642,2,2,5,nanowires -> active-inference -> active-inference-fep -> ml-classificationregression-svm-mlp-k-means-som -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'short-term-memory', 'dynamical-systems-theory', 'neuromorphic-computing--hardware']",25.27028451886968,5,0.727,2,2,4,nanowires -> network-theory -> short-term-memory -> dynamical-systems-theory -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'self-assembly-and-pattern-formation', 'statistical-mechanics--stochastic-thermodynamics', 'neuromorphic-computing--hardware']",25.27028451886968,5,0.727,2,2,4,nanowires -> network-theory -> self-assembly-and-pattern-formation -> statistical-mechanics--stochastic-thermodynamics -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'reservoir-computing-dynamics', 'dynamical-systems-theory', 'neuromorphic-computing--hardware']",25.27028451886968,5,0.727,2,2,4,nanowires -> network-theory -> reservoir-computing-dynamics -> dynamical-systems-theory -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'statistical-inference-computations', 'statistical-mechanics--stochastic-thermodynamics', 'neuromorphic-computing--hardware']",25.27028451886968,5,0.727,2,2,4,nanowires -> network-theory -> statistical-inference-computations -> statistical-mechanics--stochastic-thermodynamics -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'self-assembly-and-pattern-formation', 'dynamical-systems-theory', 'neuromorphic-computing--hardware']",25.27028451886968,5,0.727,2,2,4,nanowires -> network-theory -> self-assembly-and-pattern-formation -> dynamical-systems-theory -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'learning--adaptive-behavior', 'active-inference-fep', 'neuromorphic-computing--hardware']",25.26374919290751,5,0.726,2,2,4,nanowires -> network-theory -> learning--adaptive-behavior -> active-inference-fep -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'active-inference', 'active-inference-fep', 'neuromorphic-computing--hardware']",25.153195386109765,5,0.715,2,2,4,nanowires -> network-theory -> active-inference -> active-inference-fep -> neuromorphic-computing--hardware
"['nanowires', 'network-theory', 'periodic-pattern-formation', 'reaction-diffusion-systems', 'neuromorphic-computing--hardware']",25.15172106000288,5,0.515,2,3,4,nanowires -> network-theory -> periodic-pattern-formation -> reaction-diffusion-systems -> neuromorphic-computing--hardware
"['nanowires', 'synaptic-plasticity-emulation', 'memristors', 'photomechanochromic-polymers', 'neuromorphic-computing--hardware']",25.13218256738303,5,0.613,2,3,3,nanowires -> synaptic-plasticity-emulation -> memristors -> photomechanochromic-polymers -> neuromorphic-computing--hardware
"['nanowires', 'learning--adaptive-behavior', 'active-inference-fep', 'ml-classificationregression-svm-mlp-k-means-som', 'neuromorphic-computing--hardware']",25.096056781314473,5,0.61,2,2,5,nanowires -> learning--adaptive-behavior -> active-inference-fep -> ml-classificationregression-svm-mlp-k-means-som -> neuromorphic-computing--hardware
